interval_start_s,interval_end_s,timestamp_start_s,timestamp_end_s,frames,fps,mean_ms,p50,p90,p95,p99
795,800,794.9666667,799.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
800,805,799.9666667,804.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
805,810,804.9666667,809.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
810,815,809.9666667,814.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
815,820,814.9666667,819.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
820,825,819.9666667,824.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
825,830,824.9666667,829.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
830,835,829.9666667,834.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
835,840,834.9666667,839.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
840,845,839.9666667,844.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
845,850,844.9666667,849.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
850,855,849.9666667,854.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
855,860,854.9666667,859.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
860,865,859.9666667,864.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
865,870,864.9666667,869.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
870,875,869.9666667,874.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
875,880,874.9666667,879.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
880,885,879.9666667,884.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
885,890,884.9666667,889.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
890,895,889.9666667,894.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
895,900,894.9666667,899.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
900,905,899.9666667,904.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
905,910,904.9666667,909.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
910,915,909.9666667,914.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
915,920,914.9666667,919.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
920,925,919.9666667,924.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
925,930,924.9666667,929.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
930,935,929.9666667,934.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
935,940,934.9666667,939.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
940,945,939.9666667,944.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
945,950,944.9666667,949.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
950,955,949.9666667,954.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
955,960,954.9666667,959.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
960,965,959.9666667,964.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
965,970,964.9666667,969.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
970,975,969.9666667,974.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
975,980,974.9666667,979.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
980,985,979.9666667,984.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
985,990,984.9666667,989.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
990,995,989.9666667,994.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
995,1000,994.9666667,999.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
1000,1005,999.9666667,1004.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1005,1010,1004.966667,1009.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1010,1015,1009.966667,1014.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1015,1020,1014.966667,1019.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1020,1025,1019.966667,1024.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1025,1030,1024.966667,1029.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1030,1035,1029.966667,1034.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1035,1040,1034.966667,1039.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1040,1045,1039.966667,1044.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1045,1050,1044.966667,1049.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1050,1055,1049.966667,1054.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1055,1060,1054.966667,1059.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1060,1065,1059.966667,1064.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1065,1070,1064.966667,1069.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1070,1075,1069.966667,1074.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1075,1080,1074.966667,1079.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1080,1085,1079.966667,1084.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1085,1090,1084.966667,1089.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1090,1095,1089.966667,1094.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1095,1100,1094.966667,1099.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1100,1105,1099.966667,1104.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
